Year,USD,CAD,GBP,AUD,JPY,KRW,MXN,CHF,TRY,BRL,CNY,INR,RUB,SAR,NOK,ZAR,EUR
1950,1,1.089,0.357143,0.892857,361.1,2.5,0.00865,4.37295,2.8,0,0,4.7619,0,0,7.14286,0.714286,0
1951,1,1.053,0.357143,0.892857,361.1,6,0.00865,4.37295,2.8,0,0,4.7619,0,0,7.14286,0.714286,0
1952,1,0.979,0.357143,0.892857,361.1,6,0.00865,4.37295,2.8,0,0,4.7619,0,3.75,7.14286,0.714286,0
1953,1,0.983,0.357143,0.892857,360,18,0.00865,4.37295,2.8,0,0,4.7619,0,3.75,7.14286,0.714286,0
1954,1,0.973,0.357143,0.892857,360,18,0.0125,4.37295,2.8,0,0,4.7619,0,3.75,7.14286,0.714286,0
1955,1,0.986,0.357143,0.892857,360,50,0.0125,4.37295,2.8,0,0,4.7619,0,3.75,7.14286,0.714286,0
1956,1,0.984,0.357143,0.892857,360,50,0.0125,4.37295,2.8,0,0,4.7619,0,3.75,7.14286,0.714286,0
1957,1,0.958844,0.357143,0.892857,360,50,0.0125,4.37295,0.233336,0,2.461809,4.7619,0,3.75,7.14286,0.714286,0
1958,1,0.970619,0.357143,0.892857,360,50,0.0125,4.37295,0.000005,0,2.461809,4.7619,0,3.75,7.14286,0.714286,0
1959,1,0.959114,0.357143,0.892857,360,50,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,3.75,7.14286,0.714286,0
1960,1,0.969767,0.357143,0.892857,360,63.125,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1961,1,1.013063,0.357143,0.892857,360,124.791667,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1962,1,1.068769,0.357143,0.892857,360,130,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1963,1,1.078514,0.357143,0.892857,360,130,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1964,1,1.078598,0.357143,0.892857,360,213.846667,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1965,1,1.077984,0.357143,0.892857,360,266.27,0.0125,4.37295,0.000009,0,2.461809,4.7619,0,4.5,7.14286,0.714286,0
1966,1,1.077342,0.357143,0.892857,360,271.134167,0.0125,4.37295,0.000009,0,2.461809,6.359125,0,4.5,7.14286,0.714286,0
