Year,USD,CAD,CADvar,MXN,MXNvar,BRL,BRLvar,GBP,GBPvar,CHF,CHFvar,RUB,RUBvar,NOK,NOKvar,EUR,EURvar,TRY,EURvar2,SAR,SARvar,ZAR,ZARvar,AUD,AUDvar,JPY,JPYvar,KRW,KRWvar,CNY,CNYvar,INR,INRvar
1950,1,1.089,0,0.00865,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,0,0,0.714286,0,0.892857,0,361.1,0,2.5,0,0,0,4.7619,0
1951,1,1.053,-0.036,0.00865,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,0,0,0.714286,0,0.892857,0,361.1,0,6,3.5,0,0,4.7619,0
1952,1,0.979,-0.074,0.00865,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,3.75,3.75,0.714286,0,0.892857,0,361.1,0,6,0,0,0,4.7619,0
1953,1,0.983,0.004,0.00865,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,3.75,0,0.714286,0,0.892857,0,360,-1.1,18,12,0,0,4.7619,0
1954,1,0.973,-0.01,0.0125,0.00385,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,3.75,0,0.714286,0,0.892857,0,360,0,18,0,0,0,4.7619,0
1955,1,0.986,0.013,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,3.75,0,0.714286,0,0.892857,0,360,0,50,32,0,0,4.7619,0
1956,1,0.984,-0.002,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,2.8,0,3.75,0,0.714286,0,0.892857,0,360,0,50,0,0,0,4.7619,0
1957,1,0.958844,-0.025156,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.233336,-2.566664,3.75,0,0.714286,0,0.892857,0,360,0,50,0,2.461809,2.461809,4.7619,0
1958,1,0.970619,0.011775,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000005,-0.233331,3.75,0,0.714286,0,0.892857,0,360,0,50,0,2.461809,0,4.7619,0
1959,1,0.959114,-0.011505,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0.000004,3.75,0,0.714286,0,0.892857,0,360,0,50,0,2.461809,0,4.7619,0
1960,1,0.969767,0.010653,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0.75,0.714286,0,0.892857,0,360,0,63.125,13.125,2.461809,0,4.7619,0
1961,1,1.013063,0.043296,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,124.791667,61.666667,2.461809,0,4.7619,0
1962,1,1.068769,0.055706,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,130,5.208333,2.461809,0,4.7619,0
1963,1,1.078514,0.009745,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,130,0,2.461809,0,4.7619,0
1964,1,1.078598,8.4E-05,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,213.846667,83.846667,2.461809,0,4.7619,0
1965,1,1.077984,-0.000614,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,266.27,52.423333,2.461809,0,4.7619,0
1966,1,1.077342,-0.000642,0.0125,0,0,0,0.357143,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,271.134167,4.864167,2.461809,0,6.359125,1.597225
1967,1,1.07871,0.001368,0.0125,0,0,0,0.362103,0.00496,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,270.511667,-0.6225,2.461809,0,7.5,1.140875
1968,1,1.077471,-0.001239,0.0125,0,0,0,0.416667,0.054564,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,276.643333,6.131666,2.461809,0,7.5,0
1969,1,1.076781,-0.00069,0.0125,0,0,0,0.416667,0,4.37295,0,0,0,7.14286,0,0,0,0.000009,0,4.5,0,0.714286,0,0.892857,0,360,0,288.241667,11.598334,2.461809,0,7.5,0
1970,1,1.044219,-0.032562,0.0125,0,0,0,0.416667,0,4.37295,0,0,0,7.14286,0,0,0,0.000011,0.000002,4.5,0,0.714286,0,0.892857,0,360,0,310.555833,22.314166,2.461809,0,7.5,0
1971,1,1.009811,-0.034408,0.0125,0,0,0,0.41092,-0.005747,4.133854,-0.239096,0,0,7.055905,-0.086955,0,0,0.000015,0.000004,4.486829,-0.013171,0.715217,0.000931,0.88267,-0.010187,350.677694,-9.322306,347.1475,36.591667,2.461809,0,7.491935,-0.008065
1972,1,0.990663,-0.019148,0.0125,0,0,0,0.40039,-0.01053,3.81925,-0.314604,0,0,6.588249,-0.467656,0,0,0.000014,-0.000001,4.144753,-0.342076,0.768725,0.053508,0.838698,-0.043972,303.1725,-47.505194,392.894167,45.746667,2.245066,-0.216743,7.594468,0.102533
1973,1,1.00009,0.009427,0.0125,0,0,0,0.408171,0.007781,3.164833,-0.654417,0,0,5.765833,-0.822416,0,0,0.000014,0,3.706589,-0.438164,0.693959,-0.074766,0.704114,-0.134584,271.701667,-31.470833,398.321667,5.4275,1.989416,-0.25565,7.742039,0.147571
1974,1,0.978018,-0.022072,0.0125,0,0,0,0.427756,0.019585,2.97925,-0.185583,0,0,5.539708,-0.226125,0,0,0.000014,0,3.55,-0.156589,0.679477,-0.014482,0.696666,-0.007448,292.0825,20.380833,404.4725,6.150833,1.961107,-0.028309,8.101603,0.359564
1975,1,1.017159,0.039141,0.0125,0,0,0,0.452041,0.024285,2.581283,-0.397967,0,0,5.226942,-0.312766,0,0,0.000014,0,3.517612,-0.032388,0.739508,0.060031,0.763871,0.067205,296.7875,4.705,484,79.5275,1.859823,-0.101284,8.375892,0.274289
1976,1,0.986028,-0.031131,0.015426,0.002926,0,0,0.55651,0.104469,2.499642,-0.081641,0,0,5.456517,0.229575,0,0,0.000016,0.000002,3.53,0.012388,0.869565,0.130057,0.818284,0.054413,296.5525,-0.235,484,0,1.941415,0.081592,8.960413,0.584521
1977,1,1.063442,0.077414,0.022573,0.007147,0,0,0.573272,0.016762,2.403525,-0.096117,0,0,5.3235,-0.133017,0,0,0.000018,0.000002,3.525065,-0.004935,0.869565,0,0.901825,0.083541,268.51,-28.0425,484,0,1.857823,-0.083592,8.738576,-0.221837
