Year,USD,CAD,MXN,BRL,GBP,CHF,RUB,NOK,EUR,TRY,SAR,ZAR,AUD,JPY,KRW,CNY,INR
1950,1,1.089,0.00865,0,0.357143,4.37295,0,7.14286,0,2.8,0,0.714286,0.892857,361.1,2.5,0,4.7619
1951,1,1.053,0.00865,0,0.357143,4.37295,0,7.14286,0,2.8,0,0.714286,0.892857,361.1,6,0,4.7619
1952,1,0.979,0.00865,0,0.357143,4.37295,0,7.14286,0,2.8,3.75,0.714286,0.892857,361.1,6,0,4.7619
1953,1,0.983,0.00865,0,0.357143,4.37295,0,7.14286,0,2.8,3.75,0.714286,0.892857,360,18,0,4.7619
1954,1,0.973,0.0125,0,0.357143,4.37295,0,7.14286,0,2.8,3.75,0.714286,0.892857,360,18,0,4.7619
1955,1,0.986,0.0125,0,0.357143,4.37295,0,7.14286,0,2.8,3.75,0.714286,0.892857,360,50,0,4.7619
1956,1,0.984,0.0125,0,0.357143,4.37295,0,7.14286,0,2.8,3.75,0.714286,0.892857,360,50,0,4.7619
1957,1,0.958844,0.0125,0,0.357143,4.37295,0,7.14286,0,0.233336,3.75,0.714286,0.892857,360,50,2.461809,4.7619
1958,1,0.970619,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000005,3.75,0.714286,0.892857,360,50,2.461809,4.7619
1959,1,0.959114,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,3.75,0.714286,0.892857,360,50,2.461809,4.7619
1960,1,0.969767,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,63.125,2.461809,4.7619
1961,1,1.013063,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,124.791667,2.461809,4.7619
1962,1,1.068769,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,130,2.461809,4.7619
1963,1,1.078514,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,130,2.461809,4.7619
1964,1,1.078598,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,213.846667,2.461809,4.7619
1965,1,1.077984,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,266.27,2.461809,4.7619
1966,1,1.077342,0.0125,0,0.357143,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,271.134167,2.461809,6.359125
1967,1,1.07871,0.0125,0,0.362103,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,270.511667,2.461809,7.5
1968,1,1.077471,0.0125,0,0.416667,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,276.643333,2.461809,7.5
1969,1,1.076781,0.0125,0,0.416667,4.37295,0,7.14286,0,0.000009,4.5,0.714286,0.892857,360,288.241667,2.461809,7.5
1970,1,1.044219,0.0125,0,0.416667,4.37295,0,7.14286,0,0.000011,4.5,0.714286,0.892857,360,310.555833,2.461809,7.5
1971,1,1.009811,0.0125,0,0.41092,4.133854,0,7.055905,0,0.000015,4.486829,0.715217,0.88267,350.677694,347.1475,2.461809,7.491935
1972,1,0.990663,0.0125,0,0.40039,3.81925,0,6.588249,0,0.000014,4.144753,0.768725,0.838698,303.1725,392.894167,2.245066,7.594468
1973,1,1.00009,0.0125,0,0.408171,3.164833,0,5.765833,0,0.000014,3.706589,0.693959,0.704114,271.701667,398.321667,1.989416,7.742039
