Year	GBP	EUR	JPY	ARS
2002	4.00%	2.75%		6.63%
2003	5.00%	2.00%		1.67%
2004	5.00%	2.00%		2.50%
2005	5.00%	2.25%		5.00%
2006	5.00%	3.50%		6.25%
2007	5.50%	4.00%	0.50%	10.75%
2008	2.00%	2.50%	0.10%	12.05%
2009	0.50%	1.00%	0.10%	9.50%
2010	0.50%	1.00%	0.05%	9.50%
2011	0.50%	1.00%	0.05%	9.50%
2012	0.50%		0.05%	9.50%
2013	0.50%			9.50%
2014	0.50%	0.30%		26.86%
2015	0.50%			33.00%
2016	0.25%			24.75%
2017	0.50%		-0.10%	28.75%
2018	0.75%		-0.10%	59.25%
2019			-0.10%	55.00%
2020	0.10%		-0.10%	38.00%
2021	0.25%		-0.10%	38.00%
2022	2.25%	1.25%	-0.10%	75.00%
